Delta ID,Latitude,Longitude,Tidal range (m),Permafrost classification with ice content,Distance to nearest community (m),Canadian geographic name,Language spoken,Name of region in original language,Community type,Province
A1_E1,65.337078,-67.392007,6.37,Continuous permafrost with low ground ice content (<10%),118392.7331,Pangnirtung,Undetermined, ,Hamlet,Nunavut
A1_E3,65.059704,-67.113873,6.37,Continuous permafrost with low ground ice content (<10%),137062.8174,Pangnirtung,Undetermined, ,Hamlet,Nunavut
A1_E5,64.696633,-66.18667,6.22,Continuous permafrost with low ground ice content (<10%),154669.8344,Iqaluit,"Inuktitut, Eastern Canadian",ᐃᖃᓗᐃᑦ,City,Nunavut
A1_E6,64.587014,-65.73808,6.16,Continuous permafrost with low ground ice content (<10%),164202.548,Iqaluit,"Inuktitut, Eastern Canadian",ᐃᖃᓗᐃᑦ,City,Nunavut
A1_E7,64.142665,-65.399119,5.99,Continuous permafrost with low ground ice content (<10%),158965.4405,Iqaluit,"Inuktitut, Eastern Canadian",ᐃᖃᓗᐃᑦ,City,Nunavut
A1_A3,65.260742,-67.131305,6.37,Continuous permafrost with low ground ice content (<10%),118061.3552,Pangnirtung,Undetermined, ,Hamlet,Nunavut
A2_C1,67.266573,-72.186436,3.66,Continuous permafrost with high to medium ground ice content (10% to >20%),311696.9278,Pangnirtung,Undetermined, ,Hamlet,Nunavut
A2_C6,65.486164,-73.576915,8.28,Continuous permafrost with high to medium ground ice content (10% to >20%),198150.5076,Kinngait,"Inuktitut, Eastern Canadian",ᑭᙵᐃᑦ,Hamlet,Nunavut
A2_C7,65.522627,-73.982453,8.28,Continuous permafrost with high to medium ground ice content (10% to >20%),188047.822,Kinngait,"Inuktitut, Eastern Canadian",ᑭᙵᐃᑦ,Hamlet,Nunavut
A3_E2,66.731068,-62.325553,2.13,Continuous permafrost with low ground ice content (<10%),117840.3229,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E3,66.672981,-62.827275,1.74,Continuous permafrost with low ground ice content (<10%),111295.9122,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E4,66.643473,-62.868939,1.74,Continuous permafrost with low ground ice content (<10%),113413.2164,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E5,66.727657,-62.867937,1.74,Continuous permafrost with low ground ice content (<10%),105063.2465,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E6,66.714646,-63.406078,1.74,Continuous permafrost with low ground ice content (<10%),97495.98782,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E7,66.814998,-63.785665,1.74,Continuous permafrost with low ground ice content (<10%),83163.0417,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E8,66.809358,-63.593027,1.74,Continuous permafrost with low ground ice content (<10%),85233.91695,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E9,66.997099,-63.810366,1.54,Continuous permafrost with low ground ice content (<10%),62895.09977,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E10,67.011463,-64.68268,1.53,Continuous permafrost with low ground ice content (<10%),66838.40716,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E11,67.062683,-64.703818,1.53,Continuous permafrost with low ground ice content (<10%),62115.10511,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E13,67.363554,-64.796654,1.52,Continuous permafrost with low ground ice content (<10%),39198.59319,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E14,67.446251,-64.22073,1.52,Continuous permafrost with low ground ice content (<10%),14633.50947,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E15,67.472801,-64.454636,1.52,Continuous permafrost with low ground ice content (<10%),20377.60741,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
A3_E16,67.688199,-64.795017,1.36,Continuous permafrost with low ground ice content (<10%),35836.20488,Qikiqtarjuaq,Undetermined, ,Hamlet,Nunavut
